SMILES,S,T,SF
FC(COc1n[n+]([O-])c(OCC(F)(N(=O)=O)N(=O)=O)n[n+]1[O-])(N(=O)=O)N(=O)=O,3.36390002,0.66847162,-6.05932842
CC(C)c1cccc(C(C)C)c1N1P(=S)N(c2c(cccc2C(C)C)C(C)C)P1=S,2.579700015,0.624287133,-4.535112897
[O-][n+]1c2ccccc2[n+]([O-])c2ccccc12,2.713400016,0.61784609,-4.808953942
Cc1cc(C)c2[N+](=[N+]([O-])c3c(F)c(F)nc(F)c3Cc2c1)[O-],3.524700021,0.910245048,-6.139154994
[O-][N+](=[N+]([O-])c1ccccc1)c1ccccc1,3.877900023,1.090271299,-6.665528747
CC(C)(C)N(=O)=C1C=CC(=O)C(=C1)N,2.897300017,0.676686601,-5.117913433
[NH2+]=C(S[O-])C(=Cc1ccccc1Cl)C#N,3.201200019,1.453497221,-4.948902817
[O-][N+](=[N+]([O-])c1cnc2ccccc2n1)c1cnc2ccccc2n1,3.184000019,0.955802621,-5.412197417
CC1(C)N=C(N(O)C1(C)C)C1=[N+]([O-])C(C)(C)C(C)(C)[N+](=C1)[O-],3.527300021,1.262749221,-5.791850821
O=N(=O)C1=CC2=NOC3(CCCCC3)[N+](=C2C=C1)[O-],2.779100017,0.821247873,-4.736952161
CC1(C)ON=C2C(=C(C(=CC2=[N+]1[O-])Cl)N(=O)=O)Cl,2.796500017,0.792001784,-4.80099825
N#C[C-](C#N)[n+]1cc[n+](cc1)[C-](C#N)C#N,2.646300016,0.827796402,-4.46480363
CC(C)c1cccc(C(C)C)c1N1C=C[N+](=C1C1=C(C#N)C(=C([N-]1)[N+](=C(C#N)C#N)[C-](C#N)C#N)C#N)c1c(cccc1C(C)C)C(C)C,3.102700019,1.204948702,-5.000451336
CCOC(=O)c1c(C)n(=O)c2ccc(Cl)cc2n1=O,3.431900021,1.187664302,-5.67613574
COc1ccc2[n+]([O-])c(C)c[n+]([O-])c2c1,3.40310002,1.137501801,-5.668698239
CCS(=O)(=O)C1=[N+]([O-])c2ccccc2[N+](=C1c1ccccc1)[O-],3.41160002,1.10385242,-5.71934762
FC1=CC(C(=CC1=C(C#N)C#N)F)=C(C#N)C#N,3.34740002,1.345250113,-5.349549927
O=C1N=[N+](N([O-])c2ccccc12)c1ccccc1,3.247600019,1.190057027,-5.305143011
CC(C)(C)C1=CC(C=C(C1=O)C(C)(C)C)=C1SC(C=C1)=C1C=C(C(=O)C(=C1)C(C)(C)C)C(C)(C)C,2.370900014,0.812509916,-3.929290112
N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,3.28140002,1.289332568,-5.273467472
CC(C)(C)OC(=O)Nc1ccc2[N+](=C(CBr)C(=[N+]([O-])c2c1)CBr)[O-],3.40770002,1.150746344,-5.664653696
CC(C)[Si](C)(C(C)C)[Si](=[Si]([Si](C)(C(C)C)C(C)C)[Si](C)(C)C(C)(C)C)[Si](C)(C)C(C)(C)C,3.127000019,1.306817515,-4.947182523
CC(C)[Si](C)(C(C)C)[Si](=[Si]([Si](C)(C)C(C)(C)C)[Si](C)(C)C(C)(C)C)[Si](C)(C(C)C)C(C)C,3.072700018,1.323064073,-4.822335963
CCCCCCCCCCCCC1=CC(C=CC1=C(C#N)C#N)=C(C#N)C#N,3.30830002,1.472394711,-5.144205329
CC(C)(C)[Si](C)(C)[Si](=[Si]([Si](C)(C)C(C)(C)C)[Si](C)(C)C(C)(C)C)[Si](C)(C)C(C)(C)C,3.071800018,1.294386266,-4.84921377
CC(C)[Si](C(C)C)(C(C)C)[Si](=[Si]([Si](C)(C)C)[Si](C(C)C)(C(C)C)C(C)C)[Si](C)(C)C,3.151600019,1.351546501,-4.951653537
N#CC(C#N)=C1C=CC2=NSSC2=C1,2.762800017,0.988631524,-4.53696851
Cc1c[n+]([O-])c(C)c[n+]1[O-],3.945500024,1.617975948,-6.2730241
N#CC(C#N)=C1C=CC(=C2C=CC(C3=NSN=C23)=C(C#N)C#N)C2=NSN=C12,2.659200016,1.124268034,-4.194131998
N#CC(C#N)=C1C=CC(C2=C1CCC2)=C(C#N)C#N,3.080300018,1.327020064,-4.833579972
CN1C=CC(=C=C=C2C=CN(C)C=C2c2c(C)cc(C)cc2C)C(=C1)c1c(C)cc(C)cc1C,2.788500017,0.993137186,-4.583862848
NC1=C(C=CC2=[N+]([O-])C3(CCCCC3)N=C12)N(=O)=O,2.928200018,1.172803267,-4.683596769
c1ccc(cc1)C1=CC(=[N+]2[N-]c3ccccc3C32C=Cc2ccccc32)c2ccccc12,2.610200016,1.016691905,-4.203708127
F[B-]1(C#N)N2C(=C3C=CC=CC3=C2c2ccccc2)N=C2[N+]1=C(c1ccccc1)c1ccccc21,2.135900013,0.885199145,-3.386600881
N#CC(C#N)=C1C=C(CCCc2ccccc2)C(C=C1CCCc1ccccc1)=C(C#N)C#N,3.26110002,1.439440364,-5.082759676
C#CCOC1=CC(C=CC1=C(C#N)C#N)=C(C#N)C#N,3.091600018,1.356820585,-4.826379451
COC1=CC(C(=CC1=C(C=C1N(C)c2ccccc2C1(C)C)C#N)OC)=C(C#N)C#N,2.269300014,0.823431206,-3.715168822
CCOC1=CC(C(=CC1=C(C=C1N(C)c2ccccc2C1(C)C)C#N)OCC)=C(C#N)C#N,2.296300014,0.811462006,-3.781138022
CCCCc1ccc(NC2=C3C(=O)C=CC(=C3C(=O)C=C2)Nc2ccc(CCCC)cc2)cc1,2.284800014,0.909892389,-3.659707639
C[Si](C)(C)OC(=[Si]([Si](C)(C)C)[Si](C)(C)C)C12CC3CC(CC(C3)C1)C2,3.839800023,1.811608844,-5.867991202
CC(C)(C)C1=CC(=CC=C2C=C(C(=O)C(=C2C(C)(C)C)O)C(C)(C)C)C(=C(O)C1=O)C(C)(C)C,2.744000016,1.060856527,-4.427143505
CC(C)NC1=C2C(=O)C(=CC(=C2C(=O)C(=C1)[Se]c1ccccc1)NC(C)C)[Se]c1ccccc1,2.094400013,0.752129758,-3.436670268
CN1C(=O)C(c2cc(C)cc(C)c12)=C1c2ccccc2[N+](=C1c1ccccc1)[O-],2.543600015,0.945086233,-4.142113797
Fc1cccc(F)c1C1=C2C=C3C(=O)c4ccccc4C(=C3C=C2C(=O)c2ccccc12)c1c(F)cccc1F,2.310400014,0.963826442,-3.656973586
CC[Si](CC)(CC)C#CC1=C2C=C3C=Cc4ccccc4C(=C3C=C2C=Cc2ccccc12)C#C[Si](CC)(CC)CC,2.266600014,1.026704062,-3.506495966
N#C[B-]1(C#N)N2C(=C3C=CC=CC3=C2c2ccccc2)N=C2[N+]1=C(c1ccccc1)c1ccccc21,2.167600013,0.930928694,-3.404271332
CC1(C)CCCC(C)(C)C21NN=CC2=S=O,3.172800019,1.422690123,-4.922909915
CC(C)OC(=O)C(C(=O)OC(C)C)=C1C=CC(C=C1)=C(C(=O)OC(C)C)C(=O)OC(C)C,3.494400021,1.538582324,-5.450217718
BrCCOC(=O)C(C(=O)OCCBr)=C1C=CC(C=C1)=C(C(=O)OCCBr)C(=O)OCCBr,3.632100022,1.653080757,-5.611119287
CC(=O)OCCOC1=CC(C=CC1=C(C#N)C#N)=C(C#N)C#N,3.153100019,1.460372449,-4.845827589
ON=C1C=C(Cl)C(C=C1Cl)=C(C#N)c1ccccc1,3.42390002,1.593617622,-5.254182418
O=C1c2ccccc2C(=CC1=C1C=C(OC2CCCCC2)c2ccccc2C1=O)OC1CCCCC1,2.126900013,0.891721442,-3.362078584
CCC1=NC2=C3N=C4[N+](=C(c5ccccc5)c5nc(CC)c(CC)nc45)[B-](F)(F)N3C(=C2N=C1CC)c1ccccc1,2.227800013,1.002086738,-3.453513288
COC(=O)C1(CC(C=C)[N+]([N-]1)=C1C(=O)N(Cc2ccccc2)c2ccccc12)C(=O)OC,3.483900021,1.471482858,-5.496317184
O=C(OCc1ccccc1)C(C(=O)OCc1ccccc1)=C1C=CC(C=C1)=C(C(=O)OCc1ccccc1)C(=O)OCc1ccccc1,3.521800021,1.635793909,-5.407806133
CC(C)[Si](C(C)C)(C(C)C)C1=CC=C(S1)C1=C2C=C3SC(=O)C(=C3C=C2SC1=O)C1=CC=C(S1)[Si](C(C)C)(C(C)C)C(C)C,2.295100014,0.968436051,-3.621763977
CCCCCCOC1=CC(C(=O)c2ccccc12)=C1C=C(OCCCCCC)c2ccccc2C1=O,2.244000013,0.977390773,-3.510609253
CCOC1=CC(C(=O)c2ccccc12)=C1C=C(OCC)c2ccccc2C1=O,2.270800014,1.000129967,-3.541470061
OC1=C2C=C3OC(=O)C(=C3C=C2OC1=O)c1ccccc1,2.760900017,1.294695659,-4.227104375
CC(C)OC1=CC(C(=O)c2ccccc12)=C1C=C(OC(C)C)c2ccccc2C1=O,2.263100014,1.00941422,-3.516785808
COC(=O)C(C(=O)OC)=C1C=CC(C=C1)=C(C(=O)OC)C(=O)OC,3.616700022,1.628334452,-5.605065592
COC1=CC(C(=O)c2ccccc12)=C1C=C(OC)c2ccccc2C1=O,2.333500014,1.078100926,-3.588899102
CSC1=C(SC)SC(S1)=C1C=CC(C=C1)=C(C#N)C#N,2.724200016,1.133147109,-4.315252923
COC(=O)C(C(=O)OC)=C1C=CC(C=C1)=C(C(=O)OC)C(=O)OCCBr,3.538600021,1.536496571,-5.540703471
[O-][N+]1=C(c2ccccc2)C(=C(C#N)C#N)c2ccccc12,3.021100018,1.249070303,-4.793129733
CCOC(=O)C1=C(N(C)C2=C1C(C=C(C)C2=O)=C1C=C(C)C(=O)C2=C1C(=C(N2C)c1ccccc1)C(=O)OCC)c1ccccc1,2.648100016,1.084252604,-4.211947428
CCOC(=O)C(C(=O)OCC)=C1C=CC(C=C1)=C(C(=O)OCC)C(=O)OCC,3.657600022,1.682430957,-5.632769087
COCCOC(=O)C(C(=O)OCCOC)=C1C=CC(C=C1)=C(C(=O)OCCOC)C(=O)OCCOC,3.625600022,1.697973284,-5.55322676
FC1=CC=CC2=[N+]([O-])ON=C12,3.606700022,1.569748122,-5.643651922
