SMILES,SF
FC(COc1n[n+]([O-])c(OCC(F)(N(=O)=O)N(=O)=O)n[n+]1[O-])(N(=O)=O)N(=O)=O,-6.05932842
CC(C)c1cccc(C(C)C)c1N1P(=S)N(c2c(cccc2C(C)C)C(C)C)P1=S,1.331125749
[O-][n+]1c2ccccc2[n+]([O-])c2ccccc12,1.477707836
Cc1cc(C)c2[N+](=[N+]([O-])c3c(F)c(F)nc(F)c3Cc2c1)[O-],1.704209925
[O-][N+](=[N+]([O-])c1ccccc1)c1ccccc1,1.697357425
CC(C)(C)N(=O)=C1C=CC(=O)C(=C1)N,1.543926815
[NH2+]=C(S[O-])C(=Cc1ccccc1Cl)C#N,0.294205577
[O-][N+](=[N+]([O-])c1cnc2ccccc2n1)c1cnc2ccccc2n1,1.272394777
CC1(C)N=C(N(O)C1(C)C)C1=[N+]([O-])C(C)(C)C(C)(C)[N+](=C1)[O-],1.001801579
O=N(=O)C1=CC2=NOC3(CCCCC3)[N+](=C2C=C1)[O-],1.136604271
CC1(C)ON=C2C(=C(C(=CC2=[N+]1[O-])Cl)N(=O)=O)Cl,1.212496449
N#C[C-](C#N)[n+]1cc[n+](cc1)[C-](C#N)C#N,0.990707212
CC(C)c1cccc(C(C)C)c1N1C=C[N+](=C1C1=C(C#N)C(=C([N-]1)[N+](=C(C#N)C#N)[C-](C#N)C#N)C#N)c1c(cccc1C(C)C)C(C)C,0.692802615
CCOC(=O)c1c(C)n(=O)c2ccc(Cl)cc2n1=O,1.056571417
COc1ccc2[n+]([O-])c(C)c[n+]([O-])c2c1,1.128096418
CCS(=O)(=O)C1=[N+]([O-])c2ccccc2[N+](=C1c1ccccc1)[O-],1.20389518
FC1=CC(C(=CC1=C(C#N)C#N)F)=C(C#N)C#N,0.656899794
O=C1N=[N+](N([O-])c2ccccc12)c1ccccc1,0.867485965
CC(C)(C)C1=CC(C=C(C1=O)C(C)(C)C)=C1SC(C=C1)=C1C=C(C(=O)C(=C1)C(C)(C)C)C(C)(C)C,0.745880182
N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,0.702734884
CC(C)(C)OC(=O)Nc1ccc2[N+](=C(CBr)C(=[N+]([O-])c2c1)CBr)[O-],1.106207332
CC(C)[Si](C)(C(C)C)[Si](=[Si]([Si](C)(C(C)C)C(C)C)[Si](C)(C)C(C)(C)C)[Si](C)(C)C(C)(C)C,0.513364989
CC(C)[Si](C)(C(C)C)[Si](=[Si]([Si](C)(C)C(C)(C)C)[Si](C)(C)C(C)(C)C)[Si](C)(C(C)C)C(C)C,0.426571872
CCCCCCCCCCCCC1=CC(C=CC1=C(C#N)C#N)=C(C#N)C#N,0.363510598
CC(C)(C)[Si](C)(C)[Si](=[Si]([Si](C)(C)C(C)(C)C)[Si](C)(C)C(C)(C)C)[Si](C)(C)C(C)(C)C,0.483027486
CC(C)[Si](C(C)C)(C(C)C)[Si](=[Si]([Si](C)(C)C)[Si](C(C)C)(C(C)C)C(C)C)[Si](C)(C)C,0.448507017
N#CC(C#N)=C1C=CC2=NSSC2=C1,0.785536969
Cc1c[n+]([O-])c(C)c[n+]1[O-],0.709548128
N#CC(C#N)=C1C=CC(=C2C=CC(C3=NSN=C23)=C(C#N)C#N)C2=NSN=C12,0.410663948
N#CC(C#N)=C1C=CC(C2=C1CCC2)=C(C#N)C#N,0.42625989
CN1C=CC(=C=C=C2C=CN(C)C=C2c2c(C)cc(C)cc2C)C(=C1)c1c(C)cc(C)cc1C,0.802225645
NC1=C(C=CC2=[N+]([O-])C3(CCCCC3)N=C12)N(=O)=O,0.582593484
c1ccc(cc1)C1=CC(=[N+]2[N-]c3ccccc3C32C=Cc2ccccc32)c2ccccc12,0.576816206
F[B-]1(C#N)N2C(=C3C=CC=CC3=C2c2ccccc2)N=C2[N+]1=C(c1ccccc1)c1ccccc21,0.365501723
N#CC(C#N)=C1C=C(CCCc2ccccc2)C(C=C1CCCc1ccccc1)=C(C#N)C#N,0.382219292
C#CCOC1=CC(C=CC1=C(C#N)C#N)=C(C#N)C#N,0.377958848
COC1=CC(C(=CC1=C(C=C1N(C)c2ccccc2C1(C)C)C#N)OC)=C(C#N)C#N,0.622437602
CCOC1=CC(C(=CC1=C(C=C1N(C)c2ccccc2C1(C)C)C#N)OCC)=C(C#N)C#N,0.673376002
CCCCc1ccc(NC2=C3C(=O)C=CC(=C3C(=O)C=C2)Nc2ccc(CCCC)cc2)cc1,0.465015236
C[Si](C)(C)OC(=[Si]([Si](C)(C)C)[Si](C)(C)C)C12CC3CC(CC(C3)C1)C2,0.216582335
CC(C)(C)C1=CC(=CC=C2C=C(C(=O)C(=C2C(C)(C)C)O)C(C)(C)C)C(=C(O)C1=O)C(C)(C)C,0.622286962
CC(C)NC1=C2C(=O)C(=CC(=C2C(=O)C(=C1)[Se]c1ccccc1)NC(C)C)[Se]c1ccccc1,0.590140497
CN1C(=O)C(c2cc(C)cc(C)c12)=C1c2ccccc2[N+](=C1c1ccccc1)[O-],0.653427549
Fc1cccc(F)c1C1=C2C=C3C(=O)c4ccccc4C(=C3C=C2C(=O)c2ccccc12)c1c(F)cccc1F,0.38274713
CC[Si](CC)(CC)C#CC1=C2C=C3C=Cc4ccccc4C(=C3C=C2C=Cc2ccccc12)C#C[Si](CC)(CC)CC,0.21319189
N#C[B-]1(C#N)N2C(=C3C=CC=CC3=C2c2ccccc2)N=C2[N+]1=C(c1ccccc1)c1ccccc21,0.305742625
CC1(C)CCCC(C)(C)C21NN=CC2=S=O,0.327419773
CC(C)OC(=O)C(C(=O)OC(C)C)=C1C=CC(C=C1)=C(C(=O)OC(C)C)C(=O)OC(C)C,0.417235373
BrCCOC(=O)C(C(=O)OCCBr)=C1C=CC(C=C1)=C(C(=O)OCCBr)C(=O)OCCBr,0.325938508
CC(=O)OCCOC1=CC(C=CC1=C(C#N)C#N)=C(C#N)C#N,0.232355121
ON=C1C=C(Cl)C(C=C1Cl)=C(C#N)c1ccccc1,0.236664776
O=C1c2ccccc2C(=CC1=C1C=C(OC2CCCCC2)c2ccccc2C1=O)OC1CCCCC1,0.343457129
CCC1=NC2=C3N=C4[N+](=C(c5ccccc5)c5nc(CC)c(CC)nc45)[B-](F)(F)N3C(=C2N=C1CC)c1ccccc1,0.223626537
COC(=O)C1(CC(C=C)[N+]([N-]1)=C1C(=O)N(Cc2ccccc2)c2ccccc12)C(=O)OC,0.540934305
O=C(OCc1ccccc1)C(C(=O)OCc1ccccc1)=C1C=CC(C=C1)=C(C(=O)OCc1ccccc1)C(=O)OCc1ccccc1,0.250212203
CC(C)[Si](C(C)C)(C(C)C)C1=CC=C(S1)C1=C2C=C3SC(=O)C(=C3C=C2SC1=O)C1=CC=C(S1)[Si](C(C)C)(C(C)C)C(C)C,0.358227912
CCCCCCOC1=CC(C(=O)c2ccccc12)=C1C=C(OCCCCCC)c2ccccc2C1=O,0.289218467
CCOC1=CC(C(=O)c2ccccc12)=C1C=C(OCC)c2ccccc2C1=O,0.27054008
OC1=C2C=C3OC(=O)C(=C3C=C2OC1=O)c1ccccc1,0.171508699
CC(C)OC1=CC(C(=O)c2ccccc12)=C1C=C(OC(C)C)c2ccccc2C1=O,0.244271574
