SMILES,SF
[O-][N+](C([N+](=O)[O-])(F)COc1n[n+]([O-])c(n[n+]1[O-])OCC(F)([N+](=O)[O-])[N+]([O-])=O)=O,-6.05932842
C(F)([N+](=O)[O-])(COc1[n+]([O-])nc([n+](n1)[O-])OCC([N+]([O-])=O)(F)[N+]([O-])=O)[N+](=O)[O-],-6.05932842
C(C(F)([N+]([O-])=O)[N+]([O-])=O)Oc1[n+]([O-])nc([n+]([O-])n1)OCC([N+]([O-])=O)(F)[N+]([O-])=O,-6.05932842
C(C([N+](=O)[O-])(F)[N+]([O-])=O)Oc1[n+](nc([n+](n1)[O-])OCC([N+](=O)[O-])(F)[N+]([O-])=O)[O-],-6.05932842
[N+](=O)([O-])C([N+](=O)[O-])(F)COc1[n+]([O-])nc([n+]([O-])n1)OCC(F)([N+]([O-])=O)[N+](=O)[O-],-6.05932842
N1([PH](=S)N([PH]1=S)c1c(C(C)C)cccc1C(C)C)c1c(cccc1C(C)C)C(C)C,1.331125749
c1(cccc(c1N1[PH](N([PH]1=S)c1c(C(C)C)cccc1C(C)C)=S)C(C)C)C(C)C,1.331125749
CC(C)c1c(c(C(C)C)ccc1)N1[PH](N([PH]1=S)c1c(cccc1C(C)C)C(C)C)=S,1.331125749
c1(c(N2[PH](=S)N([PH]2=S)c2c(C(C)C)cccc2C(C)C)c(ccc1)C(C)C)C(C)C,1.331125749
CC(c1c(N2[PH](N([PH]2=S)c2c(cccc2C(C)C)C(C)C)=S)c(C(C)C)ccc1)C,1.331125749
[O-][n+]1c2ccccc2[n+](c2ccccc21)[O-],1.477707836
c1cccc2[n+](c3c(cccc3)[n+]([O-])c12)[O-],1.477707836
c1ccc2[n+](c3c(cccc3)[n+](c2c1)[O-])[O-],1.477707836
c12[n+](c3c(cccc3)[n+]([O-])c2cccc1)[O-],1.477707836
c12[n+](c3c([n+](c2cccc1)[O-])cccc3)[O-],1.477707836
c12c(c(c(F)nc2F)F)[N+](=[N+]([O-])c2c(cc(C)cc2C1)C)[O-],1.704209925
C1c2c(F)nc(c(F)c2[N+]([O-])=[N+](c2c1cc(cc2C)C)[O-])F,1.704209925
Fc1nc(F)c(F)c2c1Cc1cc(C)cc(c1[N+]([O-])=[N+]2[O-])C,1.704209925
c12c(c(F)nc(c1F)F)Cc1cc(cc(C)c1[N+](=[N+]2[O-])[O-])C,1.704209925
c1c(C)c2[N+](=[N+](c3c(c(nc(F)c3F)F)Cc2cc1C)[O-])[O-],1.704209925
[N+](c1ccccc1)(=[N+](c1ccccc1)[O-])[O-],1.697357425
c1cc(ccc1)[N+]([O-])=[N+]([O-])c1ccccc1,1.697357425
c1cccc(c1)[N+](=[N+]([O-])c1ccccc1)[O-],1.697357425
c1cccc([N+](=[N+](c2ccccc2)[O-])[O-])c1,1.697357425
c1cccc(c1)[N+](=[N+](c1ccccc1)[O-])[O-],1.697357425
C1(C(C=CC(C=1)=[N+](C(C)(C)C)[O-])=O)N,1.543926815
CC(C)([N+](=C1C=C(N)C(C=C1)=O)[O-])C,1.543926815
CC([N+]([O-])=C1C=C(N)C(C=C1)=O)(C)C,1.543926815
CC([N+](=C1C=CC(C(=C1)N)=O)[O-])(C)C,1.543926815
CC(C)(C)[N+](=C1C=C(N)C(=O)C=C1)[O-],1.543926815
c1cc(Cl)c(cc1)C=C(C#N)C(S[O-])=[NH2+],0.294205577
N#CC(C(S[O-])=[NH2+])=Cc1ccccc1Cl,0.294205577
N#CC(=Cc1ccccc1Cl)C(S[O-])=[NH2+],0.294205577
c1(C=C(C#N)C(=[NH2+])S[O-])ccccc1Cl,0.294205577
C(c1ccccc1Cl)=C(C(=[NH2+])S[O-])C#N,0.294205577
