"","doi","smiles","S1 expt.","T1 expt.","S1 M06-2X/def2-TZVP","T1 M06-2X/def2-TZVP"
0,"10.1021/acs.jpcc.6b10161","N#CC1=CC=CC(N2C3=C(C=CC=C3)C3=C2C=CC=C3)=C1C#N","","",3.68,3.63
1,"10.1021/acs.jpcc.6b10161","N#CC1=CC(=CC(N2C3=C(C=CC=C3)C3=C2C=CC=C3)=C1C#N)N1C2=C(C=CC=C2)C2=C1C=CC=C2",2.94,2.63,3.65,3.35
2,"10.1021/acs.jpcc.6b10161","N#CC1=CC(N2C3=C(C=CC=C3)C3=C2C=CC=C3)=C(N2C3=C(C=CC=C3)C3=C2C=CC=C3)C(N2C3=C(C=CC=C3)C3=C2C=CC=C3)=C1C#N","","",3.5,3.24
3,"10.1021/acs.jpcc.6b10161","N#CC1=C(N2C3=C(C=CC=C3)C3=C2C=CC=C3)C(N2C3=C(C=CC=C3)C3=C2C=CC=C3)=C(N2C3=C(C=CC=C3)C3=C2C=CC=C3)C(N2C3=C(C=CC=C3)C3=C2C=CC=C3)=C1C#N",2.59,2.45,3.37,3.11
4,"10.1021/ja063980h","C1=CC=CC=C1",4.8,3.7,5.63,5.29
5,"10.1021/ja063980h","NC1=CC=CC=C1",4.5,3.5,5.34,4.61
6,"10.1021/ja063980h","OC1=CC=CC=C1",4.1,3.1,5.03,4.33
7,"10.1021/ja063980h","C1=CC2=CC=CC=C2C=C1",4.0,2.6,4.71,3.57
8,"10.1021/ja063980h","N#CC1=C2C=CC=CC2=CC=C1",4.3,2.8,5.3,4.3
9,"10.1021/ja063980h","C1=CC=C(C=C1)C1=CC=CC=C1",2.5,"",4.1,2.8
10,"10.1021/ja063980h","O=C(C1=CC=CC=C1)C1=CC=CC=C1",2.8,2.2,3.3,3.2
11,"10.1021/ja063980h","O=C1C2=CC=CC=C2C2=C1C=CC=C2",3.3,3.0,3.7,3.4
12,"10.1021/ja063980h","N#CC(C#N)C1C=CC(C=C1)=C(C1=CC=CC=C1)C1=CC=CC=C1",4.1,2.5,4.5,3.3
13,"10.1038/nchem.694","C1=CC2=CC3=CC4=CC5=C(C=CC=C5)C=C4C=C3C=C2C=C1",2.3,0.86,2.26,1.3
14,"10.1103/PhysRevLett.22.593","C1=CC2=CC3=CC4=C(C=CC=C4)C=C3C=C2C=C1",2.32,1.25,2.82,1.8
15,"10.1021/acs.jpcc.8b05309","O=C1NC(=O)C2=C3C1=CC=C1C4=CC=C5C(=O)NC(=O)C6=C5C4=C(C=C6)C(C=C2)=C31",2.34,1.19,2.76,1.84
16,"10.1201/9781420015195","C1CC2=CC=CC3=C2C1=CC=C3",3.74,2.5,4.6194,3.4878430000000002
17,"10.1201/9781420015195","CC(=O)C1=CC=CC=C1",3.3000000000000003,3.1,3.8376,4.09729
18,"10.1201/9781420015195","CC(=O)C1=CC=C(C=C1)OC",3.4,3.0,3.9326,3.823118
19,"10.1201/9781420015195","C1=CC=C2C=C3C=CC=CC3=CC2=C1",3.18,1.78,3.6156,2.49645
20,"10.1201/9781420015195","C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2Br)Br",2.95,1.68,3.3654,2.303055
21,"10.1201/9781420015195","C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2Cl)Cl",2.98,1.69,3.3712,2.2797419999999997
22,"10.1201/9781420015195","C1=CC=C(C=C1)C2=C3C=CC=CC3=C(C4=CC=CC=C42)C5=CC=CC=C5",3.04,1.71,3.4838,2.392958
23,"10.1201/9781420015195","CC1=C2C=CC=CC2=CC3=CC=CC=C13",3.1,1.73,3.518,2.404383
24,"10.1201/9781420015195","C1CCC2=CC3=C(CCCC3)C=C2C1",4.14,3.22,5.1572,4.613233999999999
25,"10.1201/9781420015195","C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O",2.84,2.61,3.234,4.022224
26,"10.1201/9781420015195","C1=CC=C2C=CC=C2C=C1",1.7,1.63,2.4172,2.1639209999999998
27,"10.1201/9781420015195","C1=CC=C(C=C1)C=O",3.23,3.01,3.7181,4.021477
28,"10.1201/9781420015195","C1=CC=C(C=C1)Cl",4.4,3.42,5.456,5.01121
29,"10.1201/9781420015195","C1=CC(=CC=C1Cl)Cl",4.24,3.35,5.2393,4.734724
30,"10.1201/9781420015195","COC1=CC=C(C=C1)OC",3.97,3.14,4.8865,3.926278
31,"10.1201/9781420015195","C1=CC=C(C=C1)F",4.49,3.53,5.5728,4.939794999999998
32,"10.1201/9781420015195","C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl",3.97,3.0700000000000003,4.8139,4.110253
33,"10.1201/9781420015195","COC1=CC=CC=C1",4.37,3.38,5.3210000000000015,4.404614
34,"10.1201/9781420015195","CC1=CC=C(C=C1)OC",4.16,3.26,5.1721,4.416717
35,"10.1201/9781420015195","C1=CC=C(C=C1)[N+](=O)[O-]",3.72,2.43,4.0339,4.491148
36,"10.1201/9781420015195","CC1=C(C(=C(C=C1)C)C)C",4.26,3.31,5.3275,4.869109
37,"10.1201/9781420015195","CC1=CC(=CC(=C1)C)C",4.34,3.35,5.3653,4.558942
38,"10.1201/9781420015195","C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2",2.47,2.23,3.0780000000000003,2.98693
39,"10.1201/9781420015195","C1=CC(=CC=C1C#N)N",3.96,2.98,4.9327,3.838848000000002
40,"10.1201/9781420015195","COC1=CC=C(C=C1)C#N",4.22,3.15,5.2002,4.040866
41,"10.1201/9781420015195","C1=CC=C2C(=C1)C=CC3=C2C4=CC=CC=C4C=C3",3.23,2.37,4.0046,3.3224050000000003
42,"10.1201/9781420015195","C1=CC=C2C(=C1)C3=C(C=CC=N3)C4=C2N=CC=C4",3.52,2.84,4.4172,3.9390339999999995
43,"10.1201/9781420015195","C1=CC=C2C(=C1)C=CC3=NC4=CC=CC=C4N=C32",2.95,2.09,3.3725,2.95264
44,"10.1201/9781420015195","COC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)OC",3.28,2.93,3.819,3.847275
