SMILES,SF
[O-][N+](C([N+](=O)[O-])(F)COc1n[n+]([O-])c(n[n+]1[O-])OCC(F)([N+](=O)[O-])[N+]([O-])=O)=O,-6.05932842
C(F)([N+](=O)[O-])(COc1[n+]([O-])nc([n+](n1)[O-])OCC([N+]([O-])=O)(F)[N+]([O-])=O)[N+](=O)[O-],-6.05932842
C(C(F)([N+]([O-])=O)[N+]([O-])=O)Oc1[n+]([O-])nc([n+]([O-])n1)OCC([N+]([O-])=O)(F)[N+]([O-])=O,-6.05932842
C(C([N+](=O)[O-])(F)[N+]([O-])=O)Oc1[n+](nc([n+](n1)[O-])OCC([N+](=O)[O-])(F)[N+]([O-])=O)[O-],-6.05932842
[N+](=O)([O-])C([N+](=O)[O-])(F)COc1[n+]([O-])nc([n+]([O-])n1)OCC(F)([N+]([O-])=O)[N+](=O)[O-],-6.05932842
c1(n[n+]([O-])c(OCC([N+](=O)[O-])(F)[N+](=O)[O-])n[n+]1[O-])OCC([N+](=O)[O-])([N+](=O)[O-])F,-6.05932842
[O-][n+]1c(n[n+]([O-])c(n1)OCC(F)([N+]([O-])=O)[N+]([O-])=O)OCC([N+]([O-])=O)([N+](=O)[O-])F,-6.05932842
[O-][N+](C(COc1[n+](nc(OCC([N+]([O-])=O)(F)[N+](=O)[O-])[n+](n1)[O-])[O-])([N+](=O)[O-])F)=O,-6.05932842
[N+](=O)(C(F)([N+](=O)[O-])COc1n[n+](c(OCC(F)([N+]([O-])=O)[N+](=O)[O-])n[n+]1[O-])[O-])[O-],-6.05932842
O=[N+](C([N+](=O)[O-])(F)COc1[n+]([O-])nc([n+](n1)[O-])OCC([N+](=O)[O-])([N+]([O-])=O)F)[O-],-6.05932842
[N+](=O)(C([N+]([O-])=O)(COc1n[n+](c(n[n+]1[O-])OCC(F)([N+]([O-])=O)[N+](=O)[O-])[O-])F)[O-],-6.05932842
[O-][N+](C(F)([N+]([O-])=O)COc1[n+](nc([n+]([O-])n1)OCC([N+](=O)[O-])(F)[N+](=O)[O-])[O-])=O,-6.05932842
FC([N+](=O)[O-])([N+]([O-])=O)COc1n[n+]([O-])c(n[n+]1[O-])OCC(F)([N+]([O-])=O)[N+](=O)[O-],-6.05932842
[O-][N+](=O)C(COc1n[n+]([O-])c(n[n+]1[O-])OCC(F)([N+]([O-])=O)[N+](=O)[O-])(F)[N+]([O-])=O,-6.05932842
c1([n+]([O-])nc([n+](n1)[O-])OCC([N+]([O-])=O)([N+]([O-])=O)F)OCC([N+]([O-])=O)(F)[N+](=O)[O-],-6.05932842
[O-][N+](=O)C([N+]([O-])=O)(COc1[n+](nc([n+](n1)[O-])OCC(F)([N+]([O-])=O)[N+](=O)[O-])[O-])F,-6.05932842
[N+](=O)([O-])C(F)([N+]([O-])=O)COc1n[n+](c(OCC([N+]([O-])=O)(F)[N+]([O-])=O)n[n+]1[O-])[O-],-6.05932842
[O-][N+](=O)C([N+](=O)[O-])(COc1[n+](nc(OCC(F)([N+](=O)[O-])[N+](=O)[O-])[n+](n1)[O-])[O-])F,-6.05932842
[O-][N+](=O)C(F)([N+](=O)[O-])COc1n[n+]([O-])c(n[n+]1[O-])OCC(F)([N+](=O)[O-])[N+](=O)[O-],-6.05932842
c1([n+](nc([n+]([O-])n1)OCC(F)([N+]([O-])=O)[N+](=O)[O-])[O-])OCC([N+](=O)[O-])(F)[N+](=O)[O-],-6.05932842
[O-][n+]1c(n[n+]([O-])c(n1)OCC([N+]([O-])=O)([N+]([O-])=O)F)OCC(F)([N+](=O)[O-])[N+]([O-])=O,-6.05932842
